date,state_final,district_norm,age_0_5,age_5_17,age_18_greater,total_enrolments,district
2025-03-15,uttar pradesh,saharanpur,91,152,10,253,Saharanpur
2025-03-15,uttar pradesh,unnao,17,95,18,130,Unnao
2025-03-15,uttarakhand,haridwar,17,15,28,60,Haridwar
2025-03-20,andhra pradesh,spsrnellore,43,44,29,116,Spsr Nellore
2025-03-20,assam,baksa,11,14,13,38,Baksa
2025-03-20,assam,barpeta,24,34,10,68,Barpeta
2025-03-20,assam,bongaigaon,25,33,31,89,Bongaigaon
2025-03-20,assam,chirang,12,29,15,56,Chirang
2025-03-20,assam,dhemaji,20,46,19,85,Dhemaji
2025-03-20,assam,dhubri,89,229,98,416,Dhubri
2025-03-20,assam,dibrugarh,10,12,14,36,Dibrugarh
2025-03-20,assam,hojai,27,42,20,89,Hojai
2025-03-20,assam,kamrup,13,20,13,46,Kamrup
2025-03-20,assam,kokrajhar,56,130,52,238,Kokrajhar
2025-03-20,assam,lakhimpur,25,34,42,101,Lakhimpur
2025-03-20,assam,marigaon,69,141,39,249,Marigaon
2025-03-20,assam,sonitpur,10,28,43,81,Sonitpur
2025-03-20,assam,tinsukia,84,170,101,355,Tinsukia
2025-03-20,assam,udalguri,10,46,34,90,Udalguri
2025-03-20,bihar,patna,12,52,16,80,Patna
2025-03-20,bihar,sitamarhi,51,67,49,167,Sitamarhi
2025-03-20,gujarat,banaskantha,248,69,63,380,Banaskantha
2025-03-20,gujarat,patan,118,14,11,143,Patan
2025-03-20,gujarat,vadodara,36,43,10,89,Vadodara
2025-03-20,karnataka,bengaluruurban,246,112,126,484,Bengaluru Urban
2025-03-20,madhya pradesh,gwalior,73,25,18,116,Gwalior
2025-03-20,maharashtra,aurangabad,134,38,18,190,Aurangabad
2025-03-20,maharashtra,thane,19,13,15,47,Thane
2025-03-20,meghalaya,westjaintiahills,55,10,95,160,West Jaintia Hills
2025-03-20,meghalaya,westkhasihills,20,19,202,241,West Khasi Hills
2025-03-20,punjab,ludhiana,104,13,14,131,Ludhiana
2025-03-20,tamil nadu,kanchipuram,12,12,10,34,Kanchipuram
2025-03-20,uttar pradesh,agra,142,170,34,346,Agra
2025-03-20,uttar pradesh,aligarh,104,241,16,361,Aligarh
2025-03-20,uttar pradesh,bahraich,32,109,34,175,Bahraich
2025-03-20,uttar pradesh,firozabad,65,51,11,127,Firozabad
2025-03-20,uttar pradesh,gautambuddhanagar,87,218,14,319,Gautam Buddha Nagar
2025-03-20,uttar pradesh,jaunpur,19,103,29,151,Jaunpur
2025-03-20,uttar pradesh,unnao,17,41,15,73,Unnao
2025-03-20,uttarakhand,dehradun,123,43,10,176,Dehradun
2025-03-20,uttarakhand,nainital,46,18,11,75,Nainital
2025-03-23,bihar,sitamarhi,34,41,10,85,Sitamarhi
2025-03-23,madhya pradesh,gwalior,10,21,16,47,Gwalior
2025-03-23,meghalaya,eastkhasihills,11,11,115,137,East Khasi Hills
2025-03-23,meghalaya,westkhasihills,43,46,14,103,West Khasi Hills
2025-03-23,uttar pradesh,bahraich,11,72,13,96,Bahraich
2025-03-23,uttar pradesh,jaunpur,29,68,11,108,Jaunpur
2025-03-26,meghalaya,westjaintiahills,168,26,17,211,West Jaintia Hills
2025-03-27,bihar,madhubani,13,61,12,86,Madhubani
2025-03-27,bihar,muzaffarpur,24,40,10,74,Muzaffarpur
2025-03-27,bihar,pashchimchamparan,25,88,13,126,Pashchim Champaran
2025-03-27,bihar,sitamarhi,82,118,81,281,Sitamarhi
2025-03-27,chhattisgarh,bijapur,66,31,63,160,Bijapur
2025-03-27,chhattisgarh,raipur,49,15,36,100,Raipur
2025-03-27,gujarat,banaskantha,160,154,112,426,Banaskantha
2025-03-27,gujarat,dohad,32,37,41,110,Dohad
2025-03-27,gujarat,kachchh,33,13,10,56,Kachchh
2025-03-27,gujarat,morbi,36,12,23,71,Morbi
2025-03-27,gujarat,patan,23,12,12,47,Patan
2025-03-27,jharkhand,deoghar,12,25,18,55,Deoghar
2025-03-27,madhya pradesh,bhind,17,15,11,43,Bhind
2025-03-27,madhya pradesh,gwalior,54,26,14,94,Gwalior
2025-03-27,maharashtra,aurangabad,20,19,16,55,Aurangabad
2025-03-27,uttar pradesh,agra,80,86,41,207,Agra
2025-03-27,uttar pradesh,aligarh,60,83,13,156,Aligarh
2025-03-27,uttar pradesh,banda,31,24,11,66,Banda
2025-03-27,uttar pradesh,bulandshahr,19,32,10,61,Bulandshahr
2025-03-27,uttar pradesh,gorakhpur,13,36,11,60,Gorakhpur
2025-03-27,uttar pradesh,jaunpur,22,42,11,75,Jaunpur
2025-03-27,uttar pradesh,kanpurnagar,18,56,11,85,Kanpur Nagar
2025-03-27,uttar pradesh,maharajganj,11,56,22,89,Maharajganj
2025-03-27,uttar pradesh,mathura,39,40,42,121,Mathura
2025-03-28,meghalaya,eastkhasihills,22,20,12,54,East Khasi Hills
2025-03-28,meghalaya,westkhasihills,21,38,78,137,West Khasi Hills
2025-03-29,meghalaya,ribhoi,30,11,26,67,Ri Bhoi
2025-04-01,assam,baksa,408,483,187,1078,Baksa
2025-04-01,assam,barpeta,138,54,23,215,Barpeta
2025-04-01,assam,biswanath,104,114,32,250,Biswanath
2025-04-01,assam,bongaigaon,221,87,61,369,Bongaigaon
2025-04-01,assam,cachar,988,461,299,1748,Cachar
2025-04-01,assam,charaideo,91,50,164,305,Charaideo
2025-04-01,assam,chirang,189,199,179,567,Chirang
2025-04-01,assam,darrang,654,340,270,1264,Darrang
2025-04-01,assam,dhemaji,179,176,52,407,Dhemaji
2025-04-01,assam,dhubri,998,654,80,1732,Dhubri
2025-04-01,assam,dibrugarh,179,149,186,514,Dibrugarh
2025-04-01,assam,goalpara,587,294,283,1164,Goalpara
2025-04-01,assam,golaghat,568,501,144,1213,Golaghat
2025-04-01,assam,hailakandi,242,143,78,463,Hailakandi
2025-04-01,assam,hojai,763,253,100,1116,Hojai
2025-04-01,assam,jorhat,210,156,154,520,Jorhat
2025-04-01,assam,kamrup,741,404,179,1324,Kamrup
2025-04-01,assam,kamrupmetro,276,396,213,885,Kamrup Metro
2025-04-01,assam,karbianglong,543,1030,323,1896,Karbi Anglong
2025-04-01,assam,karimganj,508,426,91,1025,Karimganj
2025-04-01,assam,kokrajhar,301,238,25,564,Kokrajhar
2025-04-01,assam,lakhimpur,400,221,93,714,Lakhimpur
2025-04-01,assam,marigaon,540,457,96,1093,Marigaon
2025-04-01,assam,nagaon,504,236,36,776,Nagaon
2025-04-01,assam,nalbari,55,49,77,181,Nalbari
2025-04-01,assam,northcacharhills,130,179,99,408,North Cachar Hills
2025-04-01,assam,sibsagar,220,83,276,579,Sibsagar
2025-04-01,assam,sonitpur,138,169,65,372,Sonitpur
2025-04-01,assam,southsalmaramankachar,176,102,30,308,South Salmara Mankachar
2025-04-01,assam,tinsukia,339,391,261,991,Tinsukia
2025-04-01,assam,udalguri,447,364,319,1130,Udalguri
2025-04-01,assam,westkarbianglong,94,344,45,483,West Karbi Anglong
2025-04-01,bihar,bhagalpur,678,534,26,1238,Bhagalpur
2025-04-01,bihar,eastchamparan,1528,2371,153,4052,East Champaran
2025-04-01,bihar,gaya,437,1371,54,1862,Gaya
2025-04-01,bihar,jamui,1015,647,30,1692,Jamui
2025-04-01,bihar,jehanabad,78,292,48,418,Jehanabad
2025-04-01,bihar,kaimur(bhabua),146,199,12,357,Kaimur (Bhabua)
2025-04-01,bihar,madhubani,388,485,60,933,Madhubani
2025-04-01,bihar,munger,191,278,22,491,Munger
2025-04-01,bihar,muzaffarpur,1159,865,65,2089,Muzaffarpur
2025-04-01,bihar,patna,723,2303,373,3399,Patna
2025-04-01,bihar,purnia,517,276,21,814,Purnia
2025-04-01,bihar,saran,143,174,10,327,Saran
2025-04-01,bihar,sitamarhi,2452,1625,487,4564,Sitamarhi
2025-04-01,bihar,vaishali,270,217,10,497,Vaishali
2025-04-01,bihar,westchamparan,2826,3724,159,6709,West Champaran
2025-04-01,chandigarh,chandigarh,86,21,10,117,Chandigarh
2025-04-01,chhattisgarh,bijapur,397,135,126,658,Bijapur
2025-04-01,chhattisgarh,durg,336,38,10,384,Durg
2025-04-01,chhattisgarh,raipur,299,12,11,322,Raipur
2025-04-01,chhattisgarh,sukma,267,69,45,381,Sukma
2025-04-01,delhi,centraldelhi,80,41,12,133,Central Delhi
2025-04-01,delhi,eastdelhi,676,221,15,912,East Delhi
2025-04-01,delhi,northwestdelhi,903,349,54,1306,North West Delhi
2025-04-01,delhi,shahdara,208,98,13,319,Shahdara
2025-04-01,delhi,southdelhi,404,137,22,563,South Delhi
2025-04-01,delhi,southwestdelhi,558,209,58,825,South West Delhi
2025-04-01,delhi,westdelhi,1249,440,183,1872,West Delhi
2025-04-01,gujarat,ahmedabad,77,26,19,122,Ahmedabad
2025-04-01,gujarat,amreli,174,21,43,238,Amreli
2025-04-01,gujarat,anand,136,30,75,241,Anand
2025-04-01,gujarat,arvalli,144,32,30,206,Arvalli
2025-04-01,gujarat,banaskantha,1685,1358,1001,4044,Banaskantha
2025-04-01,gujarat,bharuch,138,50,23,211,Bharuch
2025-04-01,gujarat,bhavnagar,567,36,25,628,Bhavnagar
2025-04-01,gujarat,botad,291,21,20,332,Botad
2025-04-01,gujarat,chhotaudepur,242,121,119,482,Chhotaudepur
2025-04-01,gujarat,dahod,855,782,434,2071,Dahod
2025-04-01,gujarat,devbhumidwarka,186,44,54,284,Devbhumi Dwarka
2025-04-01,gujarat,gandhinagar,495,138,156,789,Gandhinagar
2025-04-01,gujarat,girsomnath,1262,265,179,1706,Gir Somnath
2025-04-01,gujarat,jamnagar,240,43,33,316,Jamnagar
2025-04-01,gujarat,junagadh,250,27,12,289,Junagadh
2025-04-01,gujarat,kachchh,587,242,78,907,Kachchh
2025-04-01,gujarat,kheda,425,80,150,655,Kheda
2025-04-01,gujarat,mahesana,433,55,65,553,Mahesana
2025-04-01,gujarat,mahisagar,110,12,16,138,Mahisagar
2025-04-01,gujarat,morbi,818,178,175,1171,Morbi
2025-04-01,gujarat,navsari,133,10,33,176,Navsari
2025-04-01,gujarat,panchmahals,574,145,183,902,Panchmahals
2025-04-01,gujarat,patan,800,173,225,1198,Patan
2025-04-01,gujarat,porbandar,267,38,44,349,Porbandar
2025-04-01,gujarat,rajkot,1398,338,231,1967,Rajkot
2025-04-01,gujarat,sabarkantha,389,197,110,696,Sabarkantha
2025-04-01,gujarat,surat,2932,976,280,4188,Surat
2025-04-01,gujarat,surendranagar,436,159,91,686,Surendra Nagar
2025-04-01,gujarat,tapi,68,12,13,93,Tapi
2025-04-01,gujarat,thedangs,85,13,22,120,The Dangs
2025-04-01,gujarat,vadodara,788,216,180,1184,Vadodara
2025-04-01,gujarat,valsad,618,186,100,904,Valsad
2025-04-01,haryana,faridabad,1291,290,25,1606,Faridabad
2025-04-01,haryana,gurgaon,494,192,36,722,Gurgaon
2025-04-01,jammu and kashmir,punch,142,59,10,211,Punch
2025-04-01,jharkhand,deoghar,371,342,10,723,Deoghar
2025-04-01,jharkhand,dumka,34,32,23,89,Dumka
2025-04-01,jharkhand,eastsinghbhum,55,54,11,120,East Singhbhum
2025-04-01,jharkhand,godda,79,46,11,136,Godda
2025-04-01,jharkhand,hazaribagh,169,65,14,248,Hazaribagh
2025-04-01,jharkhand,lohardaga,187,104,17,308,Lohardaga
2025-04-01,jharkhand,pakur,579,372,11,962,Pakur
2025-04-01,jharkhand,ranchi,552,481,87,1120,Ranchi
2025-04-01,karnataka,bengaluru,5774,1026,1047,7847,Bengaluru
2025-04-01,karnataka,kalaburagi,560,31,17,608,Kalaburagi
2025-04-01,karnataka,mysuru,456,19,10,485,Mysuru
2025-04-01,karnataka,yadgir,536,89,21,646,Yadgir
2025-04-01,madhya pradesh,alirajpur,134,105,15,254,Alirajpur
2025-04-01,madhya pradesh,ashoknagar,342,139,50,531,Ashok Nagar
2025-04-01,madhya pradesh,barwani,497,313,10,820,Barwani
2025-04-01,madhya pradesh,betul,193,20,10,223,Betul
2025-04-01,madhya pradesh,bhind,732,228,91,1051,Bhind
2025-04-01,madhya pradesh,bhopal,316,47,20,383,Bhopal
2025-04-01,madhya pradesh,burhanpur,547,155,100,802,Burhanpur
2025-04-01,madhya pradesh,chhatarpur,555,255,40,850,Chhatarpur
2025-04-01,madhya pradesh,datia,237,55,10,302,Datia
2025-04-01,madhya pradesh,dewas,427,65,10,502,Dewas
2025-04-01,madhya pradesh,dhar,396,116,107,619,Dhar
2025-04-01,madhya pradesh,guna,633,120,31,784,Guna
2025-04-01,madhya pradesh,gwalior,855,370,113,1338,Gwalior
2025-04-01,madhya pradesh,indore,830,205,48,1083,Indore
2025-04-01,madhya pradesh,jabalpur,125,23,11,159,Jabalpur
2025-04-01,madhya pradesh,jhabua,466,372,48,886,Jhabua
2025-04-01,madhya pradesh,katni,353,40,20,413,Katni
2025-04-01,madhya pradesh,khandwa,271,133,16,420,Khandwa
2025-04-01,madhya pradesh,khargone,695,188,52,935,Khargone
2025-04-01,madhya pradesh,morena,1027,459,82,1568,Morena
2025-04-01,madhya pradesh,panna,107,33,19,159,Panna
2025-04-01,madhya pradesh,raisen,410,83,22,515,Raisen
2025-04-01,madhya pradesh,sagar,183,26,12,221,Sagar
2025-04-01,madhya pradesh,satna,368,55,14,437,Satna
2025-04-01,madhya pradesh,sheopur,209,163,24,396,Sheopur
2025-04-01,madhya pradesh,shivpuri,499,259,111,869,Shivpuri
2025-04-01,madhya pradesh,vidisha,670,119,42,831,Vidisha
2025-04-01,maharashtra,ahmadnagar,71,15,10,96,Ahmadnagar
2025-04-01,maharashtra,aurangabad,584,154,53,791,Aurangabad
2025-04-01,maharashtra,beed,379,52,19,450,Beed
2025-04-01,maharashtra,chandrapur,193,18,10,221,Chandrapur
2025-04-01,maharashtra,hingoli,913,95,136,1144,Hingoli
2025-04-01,maharashtra,jalgaon,360,53,10,423,Jalgaon
2025-04-01,maharashtra,latur,229,42,23,294,Latur
2025-04-01,maharashtra,mumbaisuburban,389,109,44,542,Mumbai Suburban
2025-04-01,maharashtra,nagpur,468,50,48,566,Nagpur
2025-04-01,maharashtra,nanded,462,89,56,607,Nanded
2025-04-01,maharashtra,nandurbar,237,35,10,282,Nandurbar
2025-04-01,maharashtra,palghar,174,90,16,280,Palghar
2025-04-01,maharashtra,parbhani,135,10,16,161,Parbhani
2025-04-01,maharashtra,pune,39,11,19,69,Pune
2025-04-01,maharashtra,raigad,242,72,21,335,Raigad
2025-04-01,maharashtra,satara,192,26,18,236,Satara
2025-04-01,maharashtra,solapur,548,67,45,660,Solapur
2025-04-01,maharashtra,thane,2371,913,150,3434,Thane
2025-04-01,manipur,churachandpur,130,476,26,632,Churachandpur
2025-04-01,meghalaya,eastgarohills,491,1124,293,1908,East Garo Hills
2025-04-01,meghalaya,eastjaintiahills,434,765,283,1482,East Jaintia Hills
2025-04-01,meghalaya,eastkhasihills,1437,4688,1673,7798,East Khasi Hills
2025-04-01,meghalaya,northgarohills,205,1048,242,1495,North Garo Hills
2025-04-01,meghalaya,ribhoi,319,1500,514,2333,Ri Bhoi
2025-04-01,meghalaya,southgarohills,231,820,367,1418,South Garo Hills
2025-04-01,meghalaya,southwestgarohills,991,610,174,1775,South West Garo Hills
2025-04-01,meghalaya,southwestkhasihills,241,535,212,988,South West Khasi Hills
2025-04-01,meghalaya,westgarohills,1215,1761,727,3703,West Garo Hills
2025-04-01,meghalaya,westjaintiahills,712,1478,727,2917,West Jaintia Hills
2025-04-01,meghalaya,westkhasihills,896,2670,1129,4695,West Khasi Hills
2025-04-01,mizoram,champhai,275,76,17,368,Champhai
2025-04-01,nagaland,chumukedima,16,57,13,86,Chumukedima
2025-04-01,nagaland,dimapur,249,454,80,783,Dimapur
2025-04-01,nagaland,kohima,212,385,49,646,Kohima
2025-04-01,nagaland,longleng,131,226,12,369,Longleng
2025-04-01,nagaland,noklak,47,65,16,128,Noklak
2025-04-01,nagaland,peren,201,331,12,544,Peren
2025-04-01,nagaland,phek,157,268,22,447,Phek
2025-04-01,nagaland,tuensang,173,296,34,503,Tuensang
2025-04-01,odisha,nabarangapur,182,82,12,276,Nabarangapur
2025-04-01,punjab,amritsar,959,209,54,1222,Amritsar
2025-04-01,punjab,gurdaspur,233,36,49,318,Gurdaspur
2025-04-01,punjab,hoshiarpur,267,35,34,336,Hoshiarpur
2025-04-01,punjab,kapurthala,302,65,305,672,Kapurthala
2025-04-01,punjab,ludhiana,1841,734,184,2759,Ludhiana
2025-04-01,punjab,sangrur,145,11,10,166,Sangrur
2025-04-01,punjab,sasnagar(mohali),204,65,11,280,SAS Nagar (Mohali)
2025-04-01,rajasthan,ajmer,1007,196,36,1239,Ajmer
2025-04-01,rajasthan,alwar,784,209,39,1032,Alwar
2025-04-01,rajasthan,baran,379,60,25,464,Baran
2025-04-01,rajasthan,bharatpur,240,37,10,287,Bharatpur
2025-04-01,rajasthan,bikaner,552,261,16,829,Bikaner
2025-04-01,rajasthan,bundi,337,93,35,465,Bundi
2025-04-01,rajasthan,churu,316,141,12,469,Churu
2025-04-01,rajasthan,dholpur,947,347,50,1344,Dholpur
2025-04-01,rajasthan,dungarpur,66,83,13,162,Dungarpur
2025-04-01,rajasthan,jaipur,2601,671,162,3434,Jaipur
2025-04-01,rajasthan,jalor,1186,672,124,1982,Jalor
2025-04-01,rajasthan,jhalawar,112,49,12,173,Jhalawar
2025-04-01,rajasthan,jodhpur,1624,565,87,2276,Jodhpur
2025-04-01,rajasthan,karauli,348,105,12,465,Karauli
2025-04-01,rajasthan,kota,37,17,14,68,Kota
2025-04-01,rajasthan,nagaur,563,278,32,873,Nagaur
2025-04-01,rajasthan,pali,138,38,11,187,Pali
2025-04-01,rajasthan,sikar,251,62,22,335,Sikar
2025-04-01,rajasthan,sirohi,349,210,67,626,Sirohi
2025-04-01,rajasthan,udaipur,70,47,15,132,Udaipur
2025-04-01,sikkim,southsikkim,15,23,11,49,South Sikkim
2025-04-01,sikkim,westsikkim,52,65,10,127,West Sikkim
2025-04-01,tamil nadu,kancheepuram,229,75,24,328,Kancheepuram
2025-04-01,tamil nadu,madurai,94,10,11,115,Madurai
2025-04-01,tamil nadu,thanjavur,35,10,11,56,Thanjavur
2025-04-01,telangana,hyderabad,252,32,22,306,Hyderabad
2025-04-01,telangana,k.v.rangareddy,159,25,28,212,K.v. Rangareddy
2025-04-01,telangana,medchal-malkajgiri,76,25,15,116,Medchal-malkajgiri
2025-04-01,tripura,unakoti,19,16,15,50,Unakoti
2025-04-01,tripura,westtripura,146,65,25,236,West Tripura
2025-04-01,uttar pradesh,agra,832,568,37,1437,Agra
2025-04-01,uttar pradesh,aligarh,1066,643,58,1767,Aligarh
2025-04-01,uttar pradesh,ambedkarnagar,159,143,10,312,Ambedkar Nagar
2025-04-01,uttar pradesh,amroha,434,135,11,580,Amroha
2025-04-01,uttar pradesh,azamgarh,231,332,26,589,Azamgarh
2025-04-01,uttar pradesh,baghpat,311,224,18,553,Baghpat
2025-04-01,uttar pradesh,bahraich,1748,1784,281,3813,Bahraich
2025-04-01,uttar pradesh,balrampur,429,642,32,1103,Balrampur
2025-04-01,uttar pradesh,banda,458,340,43,841,Banda
2025-04-01,uttar pradesh,barabanki,172,72,10,254,Bara Banki
2025-04-01,uttar pradesh,bareilly,3176,1025,63,4264,Bareilly
2025-04-01,uttar pradesh,basti,140,139,10,289,Basti
2025-04-01,uttar pradesh,budaun,480,267,13,760,Budaun
2025-04-01,uttar pradesh,bulandshahr,612,527,49,1188,Bulandshahr
2025-04-01,uttar pradesh,chandauli,195,192,41,428,Chandauli
2025-04-01,uttar pradesh,etah,724,354,13,1091,Etah
2025-04-01,uttar pradesh,etawah,348,226,16,590,Etawah
2025-04-01,uttar pradesh,fatehpur,166,136,10,312,Fatehpur
2025-04-01,uttar pradesh,gautambuddhanagar,1192,1186,113,2491,Gautam Buddha Nagar
2025-04-01,uttar pradesh,gonda,392,260,50,702,Gonda
2025-04-01,uttar pradesh,gorakhpur,378,727,86,1191,Gorakhpur
2025-04-01,uttar pradesh,jalaun,221,102,26,349,Jalaun
2025-04-01,uttar pradesh,jaunpur,662,800,64,1526,Jaunpur
2025-04-01,uttar pradesh,kanpurdehat,469,364,75,908,Kanpur Dehat
2025-04-01,uttar pradesh,kanpurnagar,1405,1363,222,2990,Kanpur Nagar
2025-04-01,uttar pradesh,kaushambi,133,109,25,267,Kaushambi
2025-04-01,uttar pradesh,kheri,523,548,31,1102,Kheri
2025-04-01,uttar pradesh,lucknow,1235,1253,125,2613,Lucknow
2025-04-01,uttar pradesh,maharajganj,873,977,79,1929,Maharajganj
2025-04-01,uttar pradesh,mainpuri,348,313,46,707,Mainpuri
2025-04-01,uttar pradesh,meerut,1370,650,33,2053,Meerut
2025-04-01,uttar pradesh,moradabad,1519,510,15,2044,Moradabad
2025-04-01,uttar pradesh,muzaffarnagar,680,308,27,1015,Muzaffarnagar
2025-04-01,uttar pradesh,pilibhit,598,260,20,878,Pilibhit
2025-04-01,uttar pradesh,rampur,894,333,19,1246,Rampur
2025-04-01,uttar pradesh,saharanpur,1499,533,29,2061,Saharanpur
2025-04-01,uttar pradesh,shahjahanpur,1402,852,63,2317,Shahjahanpur
2025-04-01,uttar pradesh,shamli,374,151,12,537,Shamli
2025-04-01,uttar pradesh,shrawasti,207,307,11,525,Shrawasti
2025-04-01,uttar pradesh,siddharthnagar,804,1006,68,1878,Siddharthnagar
2025-04-01,uttar pradesh,sitapur,1928,1053,87,3068,Sitapur
2025-04-01,uttar pradesh,sultanpur,262,195,23,480,Sultanpur
2025-04-01,uttar pradesh,unnao,937,547,30,1514,Unnao
2025-04-01,uttar pradesh,varanasi,527,733,81,1341,Varanasi
2025-04-01,uttarakhand,dehradun,510,138,26,674,Dehradun
2025-04-01,uttarakhand,nainital,488,66,48,602,Nainital
2025-04-01,west bengal,alipurduar,38,63,27,128,Alipurduar
2025-04-01,west bengal,coochbehar,297,156,32,485,Cooch Behar
2025-04-01,west bengal,darjeeling,383,200,75,658,Darjeeling
2025-04-01,west bengal,jalpaiguri,194,62,36,292,Jalpaiguri
2025-04-01,west bengal,jhargram,40,10,12,62,Jhargram
2025-04-01,west bengal,kolkata,21,10,23,54,Kolkata
2025-04-01,west bengal,malda,306,80,10,396,Malda
2025-04-01,west bengal,nadia,204,33,11,248,Nadia
2025-04-01,west bengal,north24parganas,126,67,39,232,North 24 Parganas
2025-04-01,west bengal,uttardinajpur,1264,333,116,1713,Uttar Dinajpur
2025-05-01,assam,baksa,37,25,20,82,Baksa
2025-05-01,assam,barpeta,90,83,10,183,Barpeta
2025-05-01,assam,bongaigaon,110,41,15,166,Bongaigaon
2025-05-01,assam,charaideo,29,11,10,50,Charaideo
2025-05-01,assam,darrang,87,53,308,448,Darrang
2025-05-01,assam,dhemaji,264,174,153,591,Dhemaji
2025-05-01,assam,dibrugarh,140,95,149,384,Dibrugarh
2025-05-01,assam,goalpara,412,253,116,781,Goalpara
2025-05-01,assam,golaghat,807,826,230,1863,Golaghat
2025-05-01,assam,jorhat,17,24,13,54,Jorhat
2025-05-01,assam,kamrup,813,580,264,1657,Kamrup
2025-05-01,assam,kamrupmetro,67,42,53,162,Kamrup Metro
2025-05-01,assam,karbianglong,446,1537,175,2158,Karbi Anglong
2025-05-01,assam,karimganj,286,282,193,761,Karimganj
2025-05-01,assam,kokrajhar,249,237,32,518,Kokrajhar
2025-05-01,assam,lakhimpur,404,216,127,747,Lakhimpur
2025-05-01,assam,marigaon,130,219,29,378,Marigaon
2025-05-01,assam,nalbari,134,75,37,246,Nalbari
2025-05-01,assam,northcacharhills,25,39,13,77,North Cachar Hills
2025-05-01,assam,sibsagar,95,43,87,225,Sibsagar
2025-05-01,assam,sonitpur,55,160,38,253,Sonitpur
2025-05-01,assam,tinsukia,213,216,171,600,Tinsukia
2025-05-01,assam,udalguri,221,162,164,547,Udalguri
2025-05-01,assam,westkarbianglong,39,216,11,266,West Karbi Anglong
2025-05-01,bihar,arwal,43,156,10,209,Arwal
2025-05-01,bihar,bhagalpur,1500,1363,85,2948,Bhagalpur
2025-05-01,bihar,eastchamparan,1445,2871,192,4508,East Champaran
2025-05-01,bihar,gaya,452,1796,69,2317,Gaya
2025-05-01,bihar,gopalganj,385,495,27,907,Gopalganj
2025-05-01,bihar,jamui,245,292,13,550,Jamui
2025-05-01,bihar,kaimur(bhabua),273,642,22,937,Kaimur (Bhabua)
2025-05-01,bihar,katihar,270,215,10,495,Katihar
2025-05-01,bihar,madhubani,874,995,102,1971,Madhubani
2025-05-01,bihar,muzaffarpur,2161,2046,159,4366,Muzaffarpur
2025-05-01,bihar,patna,105,347,22,474,Patna
2025-05-01,bihar,saharsa,334,295,13,642,Saharsa
2025-05-01,bihar,sitamarhi,2961,2387,348,5696,Sitamarhi
2025-05-01,bihar,siwan,269,384,12,665,Siwan
2025-05-01,bihar,westchamparan,1934,2875,157,4966,West Champaran
