year_month,state_final,district_norm,demo_age_5_17,demo_age_17_,total_demographic_updates
2025-03,chhattisgarh,gaurela-pendra-marwahi,79,773,852
2025-03,chhattisgarh,janjgir-champa,1438,30658,32096
2025-03,chhattisgarh,jashpur,1352,6992,8344
2025-03,chhattisgarh,kabeerdham,215,3840,4055
2025-03,chhattisgarh,kanker,558,4198,4756
2025-03,chhattisgarh,kawardha,637,17645,18282
2025-03,chhattisgarh,kondagaon,114,1192,1306
2025-03,chhattisgarh,korba,223,4727,4950
2025-03,chhattisgarh,koriya,413,3746,4159
2025-03,chhattisgarh,mahasamund,309,3131,3440
2025-03,chhattisgarh,mohalla-manpur-ambagarh chowki,14,54,68
2025-03,chhattisgarh,mohla-manpur-ambagarh chouki,99,611,710
2025-03,chhattisgarh,mungeli,278,15373,15651
2025-03,chhattisgarh,narayanpur,358,1920,2278
2025-03,chhattisgarh,raigarh,1833,19707,21540
2025-03,chhattisgarh,raipur,1175,20034,21209
2025-03,chhattisgarh,rajnandgaon,886,24246,25132
2025-03,chhattisgarh,sakti,99,789,888
2025-03,chhattisgarh,sukma,260,1427,1687
2025-03,chhattisgarh,surajpur,570,7642,8212
2025-03,chhattisgarh,surguja,939,11184,12123
2025-03,chhattisgarh,uttar bastar kanker,128,1212,1340
2025-03,dadra and nagar haveli and daman and diu,dadra and nagar haveli,49,593,642
2025-03,dadra and nagar haveli and daman and diu,daman,52,758,810
2025-03,dadra and nagar haveli and daman and diu,diu,35,156,191
2025-03,delhi,central delhi,1049,12943,13992
2025-03,delhi,east delhi,1926,16285,18211
2025-03,delhi,new delhi,252,1390,1642
2025-03,delhi,north delhi,965,11456,12421
2025-03,delhi,north east,23,2908,2931
2025-03,delhi,north east delhi,2275,15592,17867
2025-03,delhi,north west delhi,6373,62825,69198
2025-03,delhi,shahdara,660,4206,4866
2025-03,delhi,south delhi,2881,36563,39444
2025-03,delhi,south west delhi,3502,32761,36263
2025-03,delhi,west delhi,4328,45156,49484
2025-03,goa,north goa,653,3568,4221
2025-03,goa,south goa,570,2780,3350
2025-03,gujarat,ahmedabad,9162,55255,64417
2025-03,gujarat,amreli,1128,7235,8363
2025-03,gujarat,anand,1001,11416,12417
2025-03,gujarat,arvalli,740,1351,2091
2025-03,gujarat,banaskantha,2962,12676,15638
2025-03,gujarat,bharuch,2761,13952,16713
2025-03,gujarat,bhavnagar,2409,14481,16890
2025-03,gujarat,botad,721,1931,2652
2025-03,gujarat,chhotaudepur,740,2493,3233
2025-03,gujarat,dahod,2071,11658,13729
2025-03,gujarat,devbhumi dwarka,167,1511,1678
2025-03,gujarat,dohad,42,920,962
2025-03,gujarat,gandhinagar,1801,12352,14153
2025-03,gujarat,gir somnath,933,2191,3124
2025-03,gujarat,jamnagar,1436,11597,13033
2025-03,gujarat,junagadh,1663,9295,10958
2025-03,gujarat,kachchh,2113,10502,12615
2025-03,gujarat,kheda,3116,17120,20236
2025-03,gujarat,mahesana,2590,12569,15159
2025-03,gujarat,mahisagar,238,1710,1948
2025-03,gujarat,morbi,552,2353,2905
2025-03,gujarat,narmada,955,3082,4037
2025-03,gujarat,navsari,2844,8310,11154
2025-03,gujarat,panchmahals,878,6690,7568
2025-03,gujarat,patan,988,6330,7318
2025-03,gujarat,porbandar,829,3297,4126
2025-03,gujarat,rajkot,2099,22508,24607
2025-03,gujarat,sabarkantha,2777,10632,13409
2025-03,gujarat,surat,7172,56297,63469
2025-03,gujarat,surendra nagar,1653,12061,13714
2025-03,gujarat,tapi,1115,3072,4187
2025-03,gujarat,the dangs,484,1400,1884
2025-03,gujarat,vadodara,3492,27140,30632
2025-03,gujarat,valsad,3409,11950,15359
2025-03,haryana,ambala,516,4084,4600
2025-03,haryana,bhiwani,601,5350,5951
2025-03,haryana,charkhi dadri,312,2114,2426
2025-03,haryana,faridabad,2675,21482,24157
2025-03,haryana,fatehabad,802,7118,7920
2025-03,haryana,gurgaon,2270,19163,21433
2025-03,haryana,hisar,1003,9821,10824
2025-03,haryana,jhajjar,808,5900,6708
2025-03,haryana,jind,673,5955,6628
2025-03,haryana,kaithal,969,8135,9104
2025-03,haryana,karnal,1203,9116,10319
2025-03,haryana,kurukshetra,636,4982,5618
2025-03,haryana,mahendragarh,478,4766,5244
2025-03,haryana,mewat,814,7691,8505
2025-03,haryana,palwal,1067,9937,11004
2025-03,haryana,panchkula,1000,5478,6478
2025-03,haryana,panipat,393,2836,3229
2025-03,haryana,rewari,903,5174,6077
2025-03,haryana,rohtak,577,3477,4054
2025-03,haryana,sirsa,669,7127,7796
2025-03,haryana,sonipat,1089,8791,9880
2025-03,haryana,yamuna nagar,1085,8223,9308
2025-03,himachal pradesh,bilaspur,136,885,1021
2025-03,himachal pradesh,chamba,1006,3938,4944
2025-03,himachal pradesh,hamirpur,103,756,859
2025-03,himachal pradesh,kangra,960,7812,8772
2025-03,himachal pradesh,kullu,273,1431,1704
2025-03,himachal pradesh,mandi,730,3372,4102
2025-03,himachal pradesh,shimla,378,2808,3186
2025-03,himachal pradesh,sirmaur,729,3559,4288
2025-03,himachal pradesh,solan,251,1577,1828
2025-03,himachal pradesh,una,121,976,1097
2025-03,jammu and kashmir,anantnag,1210,7828,9038
2025-03,jammu and kashmir,badgam,325,3926,4251
2025-03,jammu and kashmir,bandipore,369,2119,2488
2025-03,jammu and kashmir,baramula,1033,5263,6296
2025-03,jammu and kashmir,budgam,1603,3792,5395
2025-03,jammu and kashmir,doda,264,2181,2445
2025-03,jammu and kashmir,ganderbal,179,1123,1302
2025-03,jammu and kashmir,jammu,858,9258,10116
2025-03,jammu and kashmir,kargil,82,354,436
2025-03,jammu and kashmir,kathua,407,4528,4935
2025-03,jammu and kashmir,kulgam,462,2414,2876
2025-03,jammu and kashmir,kupwara,1260,6342,7602
2025-03,jammu and kashmir,leh,72,294,366
2025-03,jammu and kashmir,pulwama,559,3044,3603
2025-03,jammu and kashmir,punch,767,5067,5834
2025-03,jammu and kashmir,rajouri,687,3575,4262
2025-03,jammu and kashmir,ramban,397,1482,1879
2025-03,jammu and kashmir,reasi,458,2926,3384
2025-03,jammu and kashmir,samba,107,948,1055
2025-03,jammu and kashmir,shupiyan,417,1491,1908
2025-03,jammu and kashmir,srinagar,793,7017,7810
2025-03,jammu and kashmir,udhampur,379,4584,4963
2025-03,jharkhand,bokaro,696,30424,31120
2025-03,jharkhand,chatra,771,15350,16121
2025-03,jharkhand,deoghar,839,25753,26592
2025-03,jharkhand,dhanbad,1576,51451,53027
2025-03,jharkhand,dumka,1035,23577,24612
2025-03,jharkhand,east singhbhum,1142,20118,21260
2025-03,jharkhand,garhwa,422,9519,9941
2025-03,jharkhand,giridih,2465,65203,67668
2025-03,jharkhand,godda,702,17494,18196
2025-03,jharkhand,gumla,502,10116,10618
2025-03,jharkhand,hazaribag,44,3434,3478
2025-03,jharkhand,hazaribagh,1426,27417,28843
2025-03,jharkhand,jamtara,318,11822,12140
2025-03,jharkhand,khunti,371,7375,7746
2025-03,jharkhand,kodarma,12,551,563
2025-03,jharkhand,koderma,324,12209,12533
2025-03,jharkhand,latehar,627,12455,13082
2025-03,jharkhand,lohardaga,311,6001,6312
2025-03,jharkhand,pakaur,46,1333,1379
2025-03,jharkhand,pakur,1025,22716,23741
2025-03,jharkhand,palamau,17,1321,1338
2025-03,jharkhand,palamu,2722,52336,55058
2025-03,jharkhand,pashchimi singhbhum,40,2616,2656
2025-03,jharkhand,ramgarh,625,14401,15026
2025-03,jharkhand,ranchi,2195,35596,37791
2025-03,jharkhand,sahebganj,1040,22324,23364
2025-03,jharkhand,sahibganj,13,662,675
2025-03,jharkhand,seraikela-kharsawan,418,8451,8869
2025-03,jharkhand,simdega,458,8904,9362
2025-03,jharkhand,west singhbhum,771,14735,15506
2025-03,karnataka,bagalkot,6710,9754,16464
2025-03,karnataka,bagalkot *,24,87,111
2025-03,karnataka,ballari,1424,5310,6734
2025-03,karnataka,bangalore,756,8034,8790
2025-03,karnataka,bangalore rural,492,5093,5585
2025-03,karnataka,belagavi,6504,11546,18050
2025-03,karnataka,belgaum,6671,12317,18988
2025-03,karnataka,bellary,1163,5712,6875
2025-03,karnataka,bengaluru,7330,50407,57737
2025-03,karnataka,bidar,1812,10301,12113
2025-03,karnataka,bijapur,2894,6420,9314
2025-03,karnataka,chamrajanagar,954,3983,4937
2025-03,karnataka,chamrajnagar,28,24,52
2025-03,karnataka,chickmagalur,181,1449,1630
2025-03,karnataka,chikkaballapur,1083,7919,9002
2025-03,karnataka,chikkamagaluru,588,2431,3019
2025-03,karnataka,chitradurga,1400,9013,10413
2025-03,karnataka,dakshina kannada,2446,14069,16515
2025-03,karnataka,davanagere,58,272,330
2025-03,karnataka,davangere,1520,5814,7334
2025-03,karnataka,dharwad,4738,9235,13973
2025-03,karnataka,gadag,3851,5201,9052
2025-03,karnataka,gadag *,53,85,138
2025-03,karnataka,gulbarga,524,3348,3872
2025-03,karnataka,hasan,25,166,191
2025-03,karnataka,hassan,1467,6522,7989
2025-03,karnataka,haveri,6278,6725,13003
2025-03,karnataka,haveri *,88,192,280
2025-03,karnataka,kalaburagi,1892,6192,8084
2025-03,karnataka,kodagu,299,2302,2601
2025-03,karnataka,kolar,1094,8671,9765
2025-03,karnataka,koppal,1920,7737,9657
2025-03,karnataka,mandya,1103,9607,10710
2025-03,karnataka,mysore,317,2686,3003
2025-03,karnataka,mysuru,1308,7910,9218
2025-03,karnataka,raichur,1203,7460,8663
2025-03,karnataka,ramanagar,966,7350,8316
2025-03,karnataka,shimoga,309,2224,2533
2025-03,karnataka,shivamogga,1894,6956,8850
2025-03,karnataka,tumakuru,1286,6218,7504
2025-03,karnataka,tumkur,883,5608,6491
2025-03,karnataka,udupi,1135,6735,7870
2025-03,karnataka,uttara kannada,1738,7666,9404
2025-03,karnataka,vijayanagara,859,3421,4280
2025-03,karnataka,vijayapura,4662,5395,10057
2025-03,karnataka,yadgir,2116,7682,9798
2025-03,kerala,alappuzha,206,2629,2835
2025-03,kerala,ernakulam,926,9472,10398
2025-03,kerala,idukki,129,1430,1559
2025-03,kerala,kannur,700,6329,7029
2025-03,kerala,kasaragod,540,4127,4667
2025-03,kerala,kollam,621,5923,6544
2025-03,kerala,kottayam,87,953,1040
2025-03,kerala,kozhikode,1741,15244,16985
2025-03,kerala,malappuram,1981,21196,23177
2025-03,kerala,palakkad,532,5546,6078
2025-03,kerala,pathanamthitta,63,573,636
2025-03,kerala,thiruvananthapuram,888,8851,9739
2025-03,kerala,thrissur,586,4978,5564
2025-03,kerala,wayanad,410,4189,4599
2025-03,ladakh,kargil,309,637,946
2025-03,ladakh,leh,440,1180,1620
2025-03,madhya pradesh,agar malwa,200,1966,2166
2025-03,madhya pradesh,alirajpur,504,6836,7340
2025-03,madhya pradesh,anuppur,353,3860,4213
2025-03,madhya pradesh,ashok nagar,767,7226,7993
2025-03,madhya pradesh,balaghat,2745,17133,19878
2025-03,madhya pradesh,barwani,1605,12675,14280
2025-03,madhya pradesh,betul,1826,9784,11610
2025-03,madhya pradesh,bhind,1482,13377,14859
2025-03,madhya pradesh,bhopal,1844,15489,17333
2025-03,madhya pradesh,burhanpur,753,3189,3942
2025-03,madhya pradesh,chhatarpur,2585,21358,23943
2025-03,madhya pradesh,chhindwara,2400,11513,13913
2025-03,madhya pradesh,damoh,929,10846,11775
2025-03,madhya pradesh,datia,913,7399,8312
2025-03,madhya pradesh,dewas,1095,12830,13925
2025-03,madhya pradesh,dhar,2248,14409,16657
2025-03,madhya pradesh,dindori,676,6609,7285
2025-03,madhya pradesh,east nimar,381,2508,2889
2025-03,madhya pradesh,guna,688,10221,10909
2025-03,madhya pradesh,gwalior,2014,15266,17280
2025-03,madhya pradesh,harda,400,1895,2295
2025-03,madhya pradesh,harda *,74,692,766
2025-03,madhya pradesh,hoshangabad,359,1994,2353
2025-03,madhya pradesh,indore,3265,22947,26212
2025-03,madhya pradesh,jabalpur,1578,19130,20708
2025-03,madhya pradesh,jhabua,870,11823,12693
2025-03,madhya pradesh,katni,967,10714,11681
2025-03,madhya pradesh,khandwa,1775,3894,5669
2025-03,madhya pradesh,khargone,1713,10477,12190
2025-03,madhya pradesh,maihar,79,923,1002
2025-03,madhya pradesh,mandla,1352,8364,9716
2025-03,madhya pradesh,mandsaur,3894,14326,18220
2025-03,madhya pradesh,mauganj,48,920,968
2025-03,madhya pradesh,morena,2789,29633,32422
2025-03,madhya pradesh,narmadapuram,90,799,889
2025-03,madhya pradesh,narsimhapur,32,502,534
2025-03,madhya pradesh,narsinghpur,747,5150,5897
2025-03,madhya pradesh,neemuch,949,6505,7454
2025-03,madhya pradesh,niwari,71,473,544
2025-03,madhya pradesh,panna,673,10956,11629
2025-03,madhya pradesh,raisen,1156,8260,9416
2025-03,madhya pradesh,rajgarh,2106,10399,12505
2025-03,madhya pradesh,ratlam,1486,15805,17291
2025-03,madhya pradesh,rewa,1868,18520,20388
2025-03,madhya pradesh,sagar,1128,16281,17409
2025-03,madhya pradesh,satna,2019,19467,21486
2025-03,madhya pradesh,sehore,805,4280,5085
2025-03,madhya pradesh,seoni,2012,18208,20220
2025-03,madhya pradesh,shahdol,971,13170,14141
2025-03,madhya pradesh,shajapur,731,5170,5901
2025-03,madhya pradesh,sheopur,822,7501,8323
2025-03,madhya pradesh,shivpuri,2480,23237,25717
2025-03,madhya pradesh,sidhi,1155,13579,14734
2025-03,madhya pradesh,singrauli,925,7434,8359
2025-03,madhya pradesh,tikamgarh,2254,13150,15404
2025-03,madhya pradesh,ujjain,2175,15113,17288
2025-03,madhya pradesh,umaria,646,8332,8978
2025-03,madhya pradesh,vidisha,1146,5752,6898
2025-03,madhya pradesh,west nimar,22,43,65
2025-03,maharashtra,ahmadnagar,1274,27685,28959
2025-03,maharashtra,akola,556,9714,10270
2025-03,maharashtra,amravati,1169,13166,14335
2025-03,maharashtra,aurangabad,1241,20315,21556
2025-03,maharashtra,beed,1133,27733,28866
2025-03,maharashtra,bhandara,268,5318,5586
2025-03,maharashtra,buldhana,872,12410,13282
2025-03,maharashtra,chandrapur,355,8933,9288
2025-03,maharashtra,chatrapati sambhaji nagar,176,2120,2296
2025-03,maharashtra,chhatrapati sambhajinagar,208,1559,1767
2025-03,maharashtra,dharashiv,22,141,163
2025-03,maharashtra,dhule,454,6315,6769
2025-03,maharashtra,gadchiroli,222,3588,3810
2025-03,maharashtra,gondiya,415,4676,5091
2025-03,maharashtra,hingoli,390,10091,10481
2025-03,maharashtra,jalgaon,1160,16617,17777
2025-03,maharashtra,jalna,927,11590,12517
2025-03,maharashtra,kolhapur,868,15179,16047
2025-03,maharashtra,latur,877,18154,19031
2025-03,maharashtra,mumbai,1278,23195,24473
2025-03,maharashtra,mumbai city,984,10942,11926
2025-03,maharashtra,mumbai suburban,4058,39957,44015
2025-03,maharashtra,nagpur,2249,25703,27952
2025-03,maharashtra,nanded,1084,22465,23549
2025-03,maharashtra,nandurbar,479,4372,4851
2025-03,maharashtra,nashik,2083,31017,33100
2025-03,maharashtra,osmanabad,614,15327,15941
2025-03,maharashtra,palghar,1624,23551,25175
2025-03,maharashtra,parbhani,723,13719,14442
2025-03,maharashtra,pune,5781,74631,80412
2025-03,maharashtra,raigad,431,4268,4699
2025-03,maharashtra,raigarh,954,9301,10255
2025-03,maharashtra,ratnagiri,188,3524,3712
2025-03,maharashtra,sangli,271,6281,6552
2025-03,maharashtra,satara,529,10238,10767
2025-03,maharashtra,sindhudurg,125,2000,2125
2025-03,maharashtra,solapur,1562,31965,33527
2025-03,maharashtra,thane,6005,69162,75167
2025-03,maharashtra,wardha,564,4601,5165
2025-03,maharashtra,washim,239,3843,4082
2025-03,maharashtra,yavatmal,1238,21186,22424
2025-03,manipur,bishnupur,532,4147,4679
2025-03,manipur,chandel,265,1347,1612
2025-03,manipur,churachandpur,1006,3708,4714
2025-03,manipur,imphal east,353,2547,2900
2025-03,manipur,imphal west,694,5271,5965
2025-03,manipur,jiribam,11,222,233
2025-03,manipur,senapati,605,3069,3674
2025-03,manipur,tamenglong,231,1505,1736
2025-03,manipur,thoubal,702,3603,4305
2025-03,manipur,ukhrul,176,1752,1928
2025-03,meghalaya,east garo hills,80,3072,3152
2025-03,meghalaya,east jaintia hills,173,1169,1342
2025-03,meghalaya,east khasi hills,669,5210,5879
2025-03,meghalaya,north garo hills,48,1432,1480
2025-03,meghalaya,ri bhoi,331,3073,3404
2025-03,meghalaya,south garo hills,85,2130,2215
2025-03,meghalaya,south west garo hills,106,3395,3501
2025-03,meghalaya,south west khasi hills,368,2872,3240
2025-03,meghalaya,west garo hills,287,5326,5613
2025-03,meghalaya,west jaintia hills,493,3436,3929
2025-03,meghalaya,west khasi hills,586,4691,5277
2025-03,mizoram,aizawl,744,5276,6020
2025-03,mizoram,champhai,136,1824,1960
2025-03,mizoram,kolasib,103,690,793
2025-03,mizoram,lawngtlai,39,461,500
2025-03,mizoram,lunglei,693,3783,4476
2025-03,mizoram,mamit,159,737,896
2025-03,mizoram,mammit,13,162,175
2025-03,mizoram,saiha,107,706,813
2025-03,mizoram,serchhip,211,1153,1364
2025-03,nagaland,chumukedima,62,447,509
2025-03,nagaland,dimapur,256,2014,2270
2025-03,nagaland,kiphire,60,682,742
2025-03,nagaland,kohima,48,896,944
2025-03,nagaland,mokokchung,38,782,820
2025-03,nagaland,mon,162,1192,1354
2025-03,nagaland,niuland,27,127,154
2025-03,nagaland,peren,61,445,506
2025-03,nagaland,phek,15,307,322
2025-03,nagaland,tuensang,110,1198,1308
2025-03,nagaland,wokha,70,1022,1092
2025-03,nagaland,zunheboto,53,498,551
2025-03,odisha,angul,1105,8037,9142
2025-03,odisha,balangir,1097,11075,12172
2025-03,odisha,baleshwar,73,568,641
2025-03,odisha,baleswar,2522,14722,17244
2025-03,odisha,bargarh,814,7814,8628
2025-03,odisha,bhadrak,2025,12398,14423
2025-03,odisha,boudh,172,1820,1992
2025-03,odisha,cuttack,1830,17706,19536
2025-03,odisha,debagarh,247,2013,2260
2025-03,odisha,dhenkanal,1232,7709,8941
2025-03,odisha,gajapati,960,7416,8376
2025-03,odisha,ganjam,3639,31723,35362
2025-03,odisha,jagatsinghapur,705,5912,6617
2025-03,odisha,jajapur,923,6703,7626
2025-03,odisha,jajpur,1028,6712,7740
2025-03,odisha,jharsuguda,543,5926,6469
2025-03,odisha,kalahandi,1217,13544,14761
2025-03,odisha,kandhamal,1029,8549,9578
2025-03,odisha,kendrapara,1629,13310,14939
2025-03,odisha,kendujhar,2478,18143,20621
2025-03,odisha,khorda,1818,12364,14182
2025-03,odisha,koraput,965,11547,12512
2025-03,odisha,malkangiri,721,5296,6017
2025-03,odisha,mayurbhanj,2569,20726,23295
2025-03,odisha,nabarangapur,882,14474,15356
2025-03,odisha,nayagarh,1106,7983,9089
2025-03,odisha,nuapada,433,4707,5140
2025-03,odisha,puri,787,7675,8462
2025-03,odisha,rayagada,1042,9181,10223
2025-03,odisha,sambalpur,1093,8218,9311
2025-03,odisha,sonapur,477,4437,4914
2025-03,odisha,subarnapur,106,1366,1472
2025-03,odisha,sundargarh,45,304,349
2025-03,odisha,sundergarh,2164,16702,18866
2025-03,puducherry,karaikal,147,1109,1256
2025-03,puducherry,puducherry,332,2768,3100
2025-03,punjab,amritsar,868,13927,14795
2025-03,punjab,barnala,206,4091,4297
2025-03,punjab,bathinda,219,5745,5964
2025-03,punjab,faridkot,132,2753,2885
2025-03,punjab,fatehgarh sahib,261,4464,4725
2025-03,punjab,fazilka,366,6544,6910
2025-03,punjab,ferozepur,489,7846,8335
2025-03,punjab,firozpur,14,325,339
2025-03,punjab,gurdaspur,678,13549,14227
2025-03,punjab,hoshiarpur,614,8400,9014
2025-03,punjab,jalandhar,815,12161,12976
2025-03,punjab,kapurthala,62,1038,1100
2025-03,punjab,ludhiana,1538,21750,23288
2025-03,punjab,malerkotla,259,3960,4219
2025-03,punjab,mansa,291,6316,6607
2025-03,punjab,moga,196,3904,4100
2025-03,punjab,pathankot,169,1831,2000
2025-03,punjab,patiala,838,14443,15281
2025-03,punjab,rupnagar,242,2572,2814
2025-03,punjab,sangrur,383,7918,8301
2025-03,punjab,sas nagar (mohali),743,9491,10234
2025-03,punjab,shaheed bhagat singh nagar,88,838,926
2025-03,punjab,sri muktsar sahib,537,7320,7857
2025-03,punjab,tarn taran,139,4039,4178
2025-03,rajasthan,ajmer,2964,40194,43158
2025-03,rajasthan,alwar,4299,55898,60197
2025-03,rajasthan,banswara,1056,52902,53958
2025-03,rajasthan,baran,2233,39435,41668
2025-03,rajasthan,barmer,3007,56849,59856
