year_month,state_final,district_norm,age_0_5,age_5_17,age_18_greater,total_enrolments
2025-04,assam,tinsukia,339,391,261,991
2025-04,assam,udalguri,447,364,319,1130
2025-04,assam,westkarbianglong,94,344,45,483
2025-04,bihar,bhagalpur,678,534,26,1238
2025-04,bihar,eastchamparan,1528,2371,153,4052
2025-04,bihar,gaya,437,1371,54,1862
2025-04,bihar,jamui,1015,647,30,1692
2025-04,bihar,jehanabad,78,292,48,418
2025-04,bihar,kaimur(bhabua),146,199,12,357
2025-04,bihar,madhubani,388,485,60,933
2025-04,bihar,munger,191,278,22,491
2025-04,bihar,muzaffarpur,1159,865,65,2089
2025-04,bihar,patna,723,2303,373,3399
2025-04,bihar,purnia,517,276,21,814
2025-04,bihar,saran,143,174,10,327
2025-04,bihar,sitamarhi,2452,1625,487,4564
2025-04,bihar,vaishali,270,217,10,497
2025-04,bihar,westchamparan,2826,3724,159,6709
2025-04,chandigarh,chandigarh,86,21,10,117
2025-04,chhattisgarh,bijapur,397,135,126,658
2025-04,chhattisgarh,durg,336,38,10,384
2025-04,chhattisgarh,raipur,299,12,11,322
2025-04,chhattisgarh,sukma,267,69,45,381
2025-04,delhi,centraldelhi,80,41,12,133
2025-04,delhi,eastdelhi,676,221,15,912
2025-04,delhi,northwestdelhi,903,349,54,1306
2025-04,delhi,shahdara,208,98,13,319
2025-04,delhi,southdelhi,404,137,22,563
2025-04,delhi,southwestdelhi,558,209,58,825
2025-04,delhi,westdelhi,1249,440,183,1872
2025-04,gujarat,ahmedabad,77,26,19,122
2025-04,gujarat,amreli,174,21,43,238
2025-04,gujarat,anand,136,30,75,241
2025-04,gujarat,arvalli,144,32,30,206
2025-04,gujarat,banaskantha,1685,1358,1001,4044
2025-04,gujarat,bharuch,138,50,23,211
2025-04,gujarat,bhavnagar,567,36,25,628
2025-04,gujarat,botad,291,21,20,332
2025-04,gujarat,chhotaudepur,242,121,119,482
2025-04,gujarat,dahod,855,782,434,2071
2025-04,gujarat,devbhumidwarka,186,44,54,284
2025-04,gujarat,gandhinagar,495,138,156,789
2025-04,gujarat,girsomnath,1262,265,179,1706
2025-04,gujarat,jamnagar,240,43,33,316
2025-04,gujarat,junagadh,250,27,12,289
2025-04,gujarat,kachchh,587,242,78,907
2025-04,gujarat,kheda,425,80,150,655
2025-04,gujarat,mahesana,433,55,65,553
2025-04,gujarat,mahisagar,110,12,16,138
2025-04,gujarat,morbi,818,178,175,1171
2025-04,gujarat,navsari,133,10,33,176
2025-04,gujarat,panchmahals,574,145,183,902
2025-04,gujarat,patan,800,173,225,1198
2025-04,gujarat,porbandar,267,38,44,349
2025-04,gujarat,rajkot,1398,338,231,1967
2025-04,gujarat,sabarkantha,389,197,110,696
2025-04,gujarat,surat,2932,976,280,4188
2025-04,gujarat,surendranagar,436,159,91,686
2025-04,gujarat,tapi,68,12,13,93
2025-04,gujarat,thedangs,85,13,22,120
2025-04,gujarat,vadodara,788,216,180,1184
2025-04,gujarat,valsad,618,186,100,904
2025-04,haryana,faridabad,1291,290,25,1606
2025-04,haryana,gurgaon,494,192,36,722
2025-04,jammu and kashmir,punch,142,59,10,211
2025-04,jharkhand,deoghar,371,342,10,723
2025-04,jharkhand,dumka,34,32,23,89
2025-04,jharkhand,eastsinghbhum,55,54,11,120
2025-04,jharkhand,godda,79,46,11,136
2025-04,jharkhand,hazaribagh,169,65,14,248
2025-04,jharkhand,lohardaga,187,104,17,308
2025-04,jharkhand,pakur,579,372,11,962
2025-04,jharkhand,ranchi,552,481,87,1120
2025-04,karnataka,bengaluru,5774,1026,1047,7847
2025-04,karnataka,kalaburagi,560,31,17,608
2025-04,karnataka,mysuru,456,19,10,485
2025-04,karnataka,yadgir,536,89,21,646
2025-04,madhya pradesh,alirajpur,134,105,15,254
2025-04,madhya pradesh,ashoknagar,342,139,50,531
2025-04,madhya pradesh,barwani,497,313,10,820
2025-04,madhya pradesh,betul,193,20,10,223
2025-04,madhya pradesh,bhind,732,228,91,1051
2025-04,madhya pradesh,bhopal,316,47,20,383
2025-04,madhya pradesh,burhanpur,547,155,100,802
2025-04,madhya pradesh,chhatarpur,555,255,40,850
2025-04,madhya pradesh,datia,237,55,10,302
2025-04,madhya pradesh,dewas,427,65,10,502
2025-04,madhya pradesh,dhar,396,116,107,619
2025-04,madhya pradesh,guna,633,120,31,784
2025-04,madhya pradesh,gwalior,855,370,113,1338
2025-04,madhya pradesh,indore,830,205,48,1083
2025-04,madhya pradesh,jabalpur,125,23,11,159
2025-04,madhya pradesh,jhabua,466,372,48,886
2025-04,madhya pradesh,katni,353,40,20,413
2025-04,madhya pradesh,khandwa,271,133,16,420
2025-04,madhya pradesh,khargone,695,188,52,935
2025-04,madhya pradesh,morena,1027,459,82,1568
2025-04,madhya pradesh,panna,107,33,19,159
2025-04,madhya pradesh,raisen,410,83,22,515
2025-04,madhya pradesh,sagar,183,26,12,221
2025-04,madhya pradesh,satna,368,55,14,437
2025-04,madhya pradesh,sheopur,209,163,24,396
2025-04,madhya pradesh,shivpuri,499,259,111,869
2025-04,madhya pradesh,vidisha,670,119,42,831
2025-04,maharashtra,ahmadnagar,71,15,10,96
2025-04,maharashtra,aurangabad,584,154,53,791
2025-04,maharashtra,beed,379,52,19,450
2025-04,maharashtra,chandrapur,193,18,10,221
2025-04,maharashtra,hingoli,913,95,136,1144
2025-04,maharashtra,jalgaon,360,53,10,423
2025-04,maharashtra,latur,229,42,23,294
2025-04,maharashtra,mumbaisuburban,389,109,44,542
2025-04,maharashtra,nagpur,468,50,48,566
2025-04,maharashtra,nanded,462,89,56,607
2025-04,maharashtra,nandurbar,237,35,10,282
2025-04,maharashtra,palghar,174,90,16,280
2025-04,maharashtra,parbhani,135,10,16,161
2025-04,maharashtra,pune,39,11,19,69
2025-04,maharashtra,raigad,242,72,21,335
2025-04,maharashtra,satara,192,26,18,236
2025-04,maharashtra,solapur,548,67,45,660
2025-04,maharashtra,thane,2371,913,150,3434
2025-04,manipur,churachandpur,130,476,26,632
2025-04,meghalaya,eastgarohills,491,1124,293,1908
2025-04,meghalaya,eastjaintiahills,434,765,283,1482
2025-04,meghalaya,eastkhasihills,1437,4688,1673,7798
2025-04,meghalaya,northgarohills,205,1048,242,1495
2025-04,meghalaya,ribhoi,319,1500,514,2333
2025-04,meghalaya,southgarohills,231,820,367,1418
2025-04,meghalaya,southwestgarohills,991,610,174,1775
2025-04,meghalaya,southwestkhasihills,241,535,212,988
2025-04,meghalaya,westgarohills,1215,1761,727,3703
2025-04,meghalaya,westjaintiahills,712,1478,727,2917
2025-04,meghalaya,westkhasihills,896,2670,1129,4695
2025-04,mizoram,champhai,275,76,17,368
2025-04,nagaland,chumukedima,16,57,13,86
2025-04,nagaland,dimapur,249,454,80,783
2025-04,nagaland,kohima,212,385,49,646
2025-04,nagaland,longleng,131,226,12,369
2025-04,nagaland,noklak,47,65,16,128
2025-04,nagaland,peren,201,331,12,544
2025-04,nagaland,phek,157,268,22,447
2025-04,nagaland,tuensang,173,296,34,503
2025-04,odisha,nabarangapur,182,82,12,276
2025-04,punjab,amritsar,959,209,54,1222
2025-04,punjab,gurdaspur,233,36,49,318
2025-04,punjab,hoshiarpur,267,35,34,336
2025-04,punjab,kapurthala,302,65,305,672
2025-04,punjab,ludhiana,1841,734,184,2759
2025-04,punjab,sangrur,145,11,10,166
2025-04,punjab,sasnagar(mohali),204,65,11,280
2025-04,rajasthan,ajmer,1007,196,36,1239
2025-04,rajasthan,alwar,784,209,39,1032
2025-04,rajasthan,baran,379,60,25,464
2025-04,rajasthan,bharatpur,240,37,10,287
2025-04,rajasthan,bikaner,552,261,16,829
2025-04,rajasthan,bundi,337,93,35,465
2025-04,rajasthan,churu,316,141,12,469
2025-04,rajasthan,dholpur,947,347,50,1344
2025-04,rajasthan,dungarpur,66,83,13,162
2025-04,rajasthan,jaipur,2601,671,162,3434
2025-04,rajasthan,jalor,1186,672,124,1982
2025-04,rajasthan,jhalawar,112,49,12,173
2025-04,rajasthan,jodhpur,1624,565,87,2276
2025-04,rajasthan,karauli,348,105,12,465
2025-04,rajasthan,kota,37,17,14,68
2025-04,rajasthan,nagaur,563,278,32,873
2025-04,rajasthan,pali,138,38,11,187
2025-04,rajasthan,sikar,251,62,22,335
2025-04,rajasthan,sirohi,349,210,67,626
2025-04,rajasthan,udaipur,70,47,15,132
2025-04,sikkim,southsikkim,15,23,11,49
2025-04,sikkim,westsikkim,52,65,10,127
2025-04,tamil nadu,kancheepuram,229,75,24,328
2025-04,tamil nadu,madurai,94,10,11,115
2025-04,tamil nadu,thanjavur,35,10,11,56
2025-04,telangana,hyderabad,252,32,22,306
2025-04,telangana,k.v.rangareddy,159,25,28,212
2025-04,telangana,medchal-malkajgiri,76,25,15,116
2025-04,tripura,unakoti,19,16,15,50
2025-04,tripura,westtripura,146,65,25,236
2025-04,uttar pradesh,agra,832,568,37,1437
2025-04,uttar pradesh,aligarh,1066,643,58,1767
2025-04,uttar pradesh,ambedkarnagar,159,143,10,312
2025-04,uttar pradesh,amroha,434,135,11,580
2025-04,uttar pradesh,azamgarh,231,332,26,589
2025-04,uttar pradesh,baghpat,311,224,18,553
2025-04,uttar pradesh,bahraich,1748,1784,281,3813
2025-04,uttar pradesh,balrampur,429,642,32,1103
2025-04,uttar pradesh,banda,458,340,43,841
2025-04,uttar pradesh,barabanki,172,72,10,254
2025-04,uttar pradesh,bareilly,3176,1025,63,4264
2025-04,uttar pradesh,basti,140,139,10,289
2025-04,uttar pradesh,budaun,480,267,13,760
2025-04,uttar pradesh,bulandshahr,612,527,49,1188
2025-04,uttar pradesh,chandauli,195,192,41,428
2025-04,uttar pradesh,etah,724,354,13,1091
2025-04,uttar pradesh,etawah,348,226,16,590
2025-04,uttar pradesh,fatehpur,166,136,10,312
2025-04,uttar pradesh,gautambuddhanagar,1192,1186,113,2491
2025-04,uttar pradesh,gonda,392,260,50,702
2025-04,uttar pradesh,gorakhpur,378,727,86,1191
2025-04,uttar pradesh,jalaun,221,102,26,349
2025-04,uttar pradesh,jaunpur,662,800,64,1526
2025-04,uttar pradesh,kanpurdehat,469,364,75,908
2025-04,uttar pradesh,kanpurnagar,1405,1363,222,2990
2025-04,uttar pradesh,kaushambi,133,109,25,267
2025-04,uttar pradesh,kheri,523,548,31,1102
2025-04,uttar pradesh,lucknow,1235,1253,125,2613
2025-04,uttar pradesh,maharajganj,873,977,79,1929
2025-04,uttar pradesh,mainpuri,348,313,46,707
2025-04,uttar pradesh,meerut,1370,650,33,2053
2025-04,uttar pradesh,moradabad,1519,510,15,2044
2025-04,uttar pradesh,muzaffarnagar,680,308,27,1015
2025-04,uttar pradesh,pilibhit,598,260,20,878
2025-04,uttar pradesh,rampur,894,333,19,1246
2025-04,uttar pradesh,saharanpur,1499,533,29,2061
2025-04,uttar pradesh,shahjahanpur,1402,852,63,2317
2025-04,uttar pradesh,shamli,374,151,12,537
2025-04,uttar pradesh,shrawasti,207,307,11,525
2025-04,uttar pradesh,siddharthnagar,804,1006,68,1878
2025-04,uttar pradesh,sitapur,1928,1053,87,3068
2025-04,uttar pradesh,sultanpur,262,195,23,480
2025-04,uttar pradesh,unnao,937,547,30,1514
2025-04,uttar pradesh,varanasi,527,733,81,1341
2025-04,uttarakhand,dehradun,510,138,26,674
2025-04,uttarakhand,nainital,488,66,48,602
2025-04,west bengal,alipurduar,38,63,27,128
2025-04,west bengal,coochbehar,297,156,32,485
2025-04,west bengal,darjeeling,383,200,75,658
2025-04,west bengal,jalpaiguri,194,62,36,292
2025-04,west bengal,jhargram,40,10,12,62
2025-04,west bengal,kolkata,21,10,23,54
2025-04,west bengal,malda,306,80,10,396
2025-04,west bengal,nadia,204,33,11,248
2025-04,west bengal,north24parganas,126,67,39,232
2025-04,west bengal,uttardinajpur,1264,333,116,1713
2025-05,assam,baksa,37,25,20,82
2025-05,assam,barpeta,90,83,10,183
2025-05,assam,bongaigaon,110,41,15,166
2025-05,assam,charaideo,29,11,10,50
2025-05,assam,darrang,87,53,308,448
2025-05,assam,dhemaji,264,174,153,591
2025-05,assam,dibrugarh,140,95,149,384
2025-05,assam,goalpara,412,253,116,781
2025-05,assam,golaghat,807,826,230,1863
2025-05,assam,jorhat,17,24,13,54
2025-05,assam,kamrup,813,580,264,1657
2025-05,assam,kamrupmetro,67,42,53,162
2025-05,assam,karbianglong,446,1537,175,2158
2025-05,assam,karimganj,286,282,193,761
2025-05,assam,kokrajhar,249,237,32,518
2025-05,assam,lakhimpur,404,216,127,747
2025-05,assam,marigaon,130,219,29,378
2025-05,assam,nalbari,134,75,37,246
2025-05,assam,northcacharhills,25,39,13,77
2025-05,assam,sibsagar,95,43,87,225
2025-05,assam,sonitpur,55,160,38,253
2025-05,assam,tinsukia,213,216,171,600
2025-05,assam,udalguri,221,162,164,547
2025-05,assam,westkarbianglong,39,216,11,266
2025-05,bihar,arwal,43,156,10,209
2025-05,bihar,bhagalpur,1500,1363,85,2948
2025-05,bihar,eastchamparan,1445,2871,192,4508
2025-05,bihar,gaya,452,1796,69,2317
2025-05,bihar,gopalganj,385,495,27,907
2025-05,bihar,jamui,245,292,13,550
2025-05,bihar,kaimur(bhabua),273,642,22,937
2025-05,bihar,katihar,270,215,10,495
2025-05,bihar,madhubani,874,995,102,1971
2025-05,bihar,muzaffarpur,2161,2046,159,4366
2025-05,bihar,patna,105,347,22,474
2025-05,bihar,saharsa,334,295,13,642
2025-05,bihar,sitamarhi,2961,2387,348,5696
2025-05,bihar,siwan,269,384,12,665
2025-05,bihar,westchamparan,1934,2875,157,4966
2025-05,chhattisgarh,balodabazar,492,35,17,544
2025-05,chhattisgarh,bijapur,275,180,155,610
2025-05,chhattisgarh,sukma,178,55,19,252
2025-05,delhi,centraldelhi,208,105,20,333
2025-05,delhi,eastdelhi,969,342,67,1378
2025-05,delhi,northwestdelhi,368,251,25,644
2025-05,delhi,shahdara,66,47,20,133
2025-05,delhi,southdelhi,217,88,28,333
2025-05,delhi,southwestdelhi,448,188,48,684
2025-05,delhi,westdelhi,1411,493,172,2076
2025-05,gujarat,ahmedabad,756,347,97,1200
2025-05,gujarat,anand,111,22,10,143
2025-05,gujarat,banaskantha,1146,724,178,2048
2025-05,gujarat,bharuch,303,69,23,395
2025-05,gujarat,chhotaudepur,127,61,28,216
2025-05,gujarat,dahod,710,717,653,2080
2025-05,gujarat,devbhumidwarka,167,26,23,216
2025-05,gujarat,gandhinagar,251,28,16,295
2025-05,gujarat,girsomnath,181,53,26,260
2025-05,gujarat,jamnagar,410,77,67,554
2025-05,gujarat,kachchh,59,79,12,150
2025-05,gujarat,kheda,89,18,33,140
2025-05,gujarat,mahesana,178,26,13,217
2025-05,gujarat,morbi,389,88,46,523
2025-05,gujarat,navsari,122,21,15,158
2025-05,gujarat,panchmahals,311,83,61,455
2025-05,gujarat,patan,225,53,25,303
2025-05,gujarat,rajkot,1375,312,221,1908
2025-05,gujarat,sabarkantha,90,41,11,142
2025-05,gujarat,surat,1396,542,48,1986
2025-05,gujarat,thedangs,174,49,38,261
2025-05,gujarat,vadodara,158,78,10,246
2025-05,gujarat,valsad,277,101,20,398
2025-05,haryana,faridabad,1358,311,32,1701
2025-05,haryana,gurgaon,512,143,13,668
2025-05,haryana,mewat,1169,147,11,1327
2025-05,jammu and kashmir,baramula,136,39,12,187
2025-05,jammu and kashmir,jammu,55,16,10,81
2025-05,karnataka,bangalorerural,176,35,29,240
2025-05,karnataka,bengaluru,2659,1723,869,5251
2025-05,kerala,kollam,34,12,10,56
2025-05,kerala,malappuram,135,121,10,266
2025-05,kerala,thiruvananthapuram,32,15,11,58
2025-05,madhya pradesh,alirajpur,66,42,25,133
2025-05,madhya pradesh,ashoknagar,161,40,19,220
2025-05,madhya pradesh,barwani,2114,1005,55,3174
2025-05,madhya pradesh,bhind,670,238,48,956
2025-05,madhya pradesh,burhanpur,724,179,29,932
2025-05,madhya pradesh,chhatarpur,394,313,30,737
2025-05,madhya pradesh,dewas,518,87,17,622
2025-05,madhya pradesh,gwalior,338,108,18,464
2025-05,madhya pradesh,indore,519,111,18,648
2025-05,madhya pradesh,jhabua,308,316,10,634
2025-05,madhya pradesh,khandwa,47,21,10,78
2025-05,madhya pradesh,khargone,304,131,13,448
2025-05,madhya pradesh,morena,709,313,44,1066
2025-05,madhya pradesh,panna,140,71,13,224
2025-05,madhya pradesh,vidisha,209,43,15,267
2025-05,maharashtra,beed,366,63,15,444
2025-05,maharashtra,dhule,118,46,18,182
2025-05,maharashtra,hingoli,246,31,34,311
2025-05,maharashtra,jalgaon,506,92,43,641
2025-05,maharashtra,mumbaisuburban,882,457,230,1569
2025-05,maharashtra,nagpur,243,28,22,293
2025-05,maharashtra,nanded,383,80,39,502
2025-05,maharashtra,nandurbar,251,134,21,406
2025-05,maharashtra,nashik,97,14,45,156
2025-05,maharashtra,palghar,162,155,14,331
2025-05,maharashtra,parbhani,425,90,32,547
2025-05,maharashtra,pune,328,97,61,486
2025-05,maharashtra,sangli,160,45,20,225
2025-05,maharashtra,satara,150,32,10,192
2025-05,maharashtra,solapur,473,97,51,621
2025-05,maharashtra,thane,1437,799,96,2332
2025-05,maharashtra,washim,198,20,10,228
2025-05,maharashtra,yavatmal,281,72,30,383
2025-05,manipur,bishnupur,76,79,30,185
2025-05,manipur,imphalwest,44,37,25,106
2025-05,meghalaya,eastgarohills,180,448,267,895
2025-05,meghalaya,eastjaintiahills,125,248,256,629
2025-05,meghalaya,eastkhasihills,768,2259,1867,4894
2025-05,meghalaya,northgarohills,65,168,91,324
2025-05,meghalaya,ribhoi,243,733,633,1609
2025-05,meghalaya,southgarohills,105,388,192,685
2025-05,meghalaya,southwestgarohills,392,240,167,799
2025-05,meghalaya,southwestkhasihills,135,192,200,527
2025-05,meghalaya,westgarohills,683,994,708,2385
2025-05,meghalaya,westjaintiahills,558,909,734,2201
2025-05,meghalaya,westkhasihills,406,1103,923,2432
2025-05,mizoram,lawngtlai,280,62,29,371
2025-05,mizoram,lunglei,136,31,16,183
2025-05,mizoram,saiha,59,61,63,183
2025-05,nagaland,dimapur,155,207,22,384
2025-05,nagaland,peren,148,119,15,282
2025-05,punjab,amritsar,664,284,26,974
2025-05,punjab,gurdaspur,114,20,13,147
2025-05,punjab,hoshiarpur,197,48,18,263
2025-05,punjab,kapurthala,233,67,96,396
2025-05,punjab,ludhiana,876,458,49,1383
2025-05,punjab,patiala,456,125,23,604
2025-05,rajasthan,alwar,610,179,10,799
2025-05,rajasthan,bikaner,421,164,20,605
2025-05,rajasthan,jaipur,120,70,10,200
2025-05,rajasthan,jodhpur,595,190,15,800
2025-05,rajasthan,sirohi,246,301,10,557
2025-05,tamil nadu,coimbatore,59,19,11,89
2025-05,tamil nadu,cuddalore,120,11,10,141
2025-05,tamil nadu,pudukkottai,143,34,13,190
2025-05,telangana,hyderabad,736,154,21,911
2025-05,uttar pradesh,agra,1550,967,60,2577
2025-05,uttar pradesh,aligarh,1564,1159,103,2826
2025-05,uttar pradesh,bahraich,1485,1891,193,3569
2025-05,uttar pradesh,banda,730,804,70,1604
2025-05,uttar pradesh,bareilly,1306,574,49,1929
2025-05,uttar pradesh,bijnor,1351,432,39,1822
2025-05,uttar pradesh,budaun,222,228,11,461
2025-05,uttar pradesh,chandauli,214,191,14,419
2025-05,uttar pradesh,deoria,384,503,20,907
2025-05,uttar pradesh,etah,1092,457,48,1597
2025-05,uttar pradesh,fatehpur,274,224,11,509
2025-05,uttar pradesh,gautambuddhanagar,867,915,52,1834
2025-05,uttar pradesh,ghaziabad,882,747,37,1666
2025-05,uttar pradesh,gorakhpur,129,352,41,522
2025-05,uttar pradesh,hapur,681,450,11,1142
2025-05,uttar pradesh,hathras,478,319,11,808
2025-05,uttar pradesh,kanpurnagar,835,854,57,1746
2025-05,uttar pradesh,kheri,832,687,33,1552
2025-05,uttar pradesh,kushinagar,170,229,10,409
2025-05,uttar pradesh,lalitpur,138,71,10,219
2025-05,uttar pradesh,lucknow,608,560,48,1216
2025-05,uttar pradesh,maharajganj,500,791,40,1331
2025-05,uttar pradesh,meerut,1663,1146,38,2847
2025-05,uttar pradesh,moradabad,1673,793,79,2545
2025-05,uttar pradesh,pilibhit,1367,640,21,2028
2025-05,uttar pradesh,prayagraj,23,45,19,87
2025-05,uttar pradesh,rampur,1304,700,27,2031
2025-05,uttar pradesh,shahjahanpur,1274,987,51,2312
2025-05,uttar pradesh,shrawasti,279,445,28,752
2025-05,uttar pradesh,siddharthnagar,603,1073,47,1723
2025-05,uttar pradesh,sitapur,802,540,31,1373
2025-05,uttar pradesh,sultanpur,209,205,10,424
2025-05,uttar pradesh,unnao,865,726,37,1628
2025-05,uttar pradesh,varanasi,574,849,23,1446
2025-05,uttarakhand,dehradun,477,135,12,624
2025-05,west bengal,alipurduar,42,112,43,197
2025-05,west bengal,birbhum,204,61,13,278
2025-05,west bengal,coochbehar,991,606,77,1674
2025-05,west bengal,dakshindinajpur,179,42,14,235
2025-05,west bengal,darjeeling,297,223,78,598
2025-05,west bengal,jalpaiguri,493,413,74,980
2025-05,west bengal,kalimpong,12,39,27,78
2025-05,west bengal,kolkata,247,222,34,503
2025-05,west bengal,nadia,478,108,50,636
2025-05,west bengal,north24parganas,494,195,37,726
2025-05,west bengal,uttardinajpur,2101,1479,97,3677
2025-06,andhra pradesh,spsrnellore,742,405,201,1348
2025-06,andhra pradesh,visakhapatanam,186,28,12,226
2025-06,assam,baksa,28,12,12,52
2025-06,assam,barpeta,699,376,104,1179
2025-06,assam,bongaigaon,33,14,14,61
2025-06,assam,cachar,847,584,201,1632
2025-06,assam,darrang,63,25,10,98
2025-06,assam,dhemaji,135,126,55,316
2025-06,assam,dhubri,323,198,24,545
2025-06,assam,dibrugarh,413,127,134,674
2025-06,assam,dimahasao,33,28,10,71
2025-06,assam,goalpara,17,43,20,80
2025-06,assam,golaghat,561,502,202,1265
2025-06,assam,hojai,277,76,11,364
2025-06,assam,jorhat,24,19,13,56
2025-06,assam,kamrup,133,51,23,207
2025-06,assam,kamrupmetro,55,54,65,174
2025-06,assam,karimganj,253,277,97,627
2025-06,assam,kokrajhar,155,115,17,287
2025-06,assam,lakhimpur,207,181,63,451
2025-06,assam,marigaon,412,250,118,780
2025-06,assam,nagaon,24,67,65,156
2025-06,assam,sivasagar,37,33,10,80
2025-06,assam,sonitpur,97,110,77,284
2025-06,assam,westkarbianglong,52,133,110,295
2025-06,bihar,araria,850,787,39,1676
2025-06,bihar,banka,397,542,36,975
2025-06,bihar,bhagalpur,1407,2293,150,3850
2025-06,bihar,darbhanga,255,183,10,448
2025-06,bihar,gaya,515,1341,37,1893
2025-06,bihar,gopalganj,577,1145,51,1773
2025-06,bihar,jamui,323,426,23,772
2025-06,bihar,kaimur(bhabua),165,536,10,711
2025-06,bihar,katihar,488,463,34,985
2025-06,bihar,lakhisarai,298,478,10,786
2025-06,bihar,madhubani,876,1379,170,2425
